Taulukko 1. Ikävakioitu sairastavuus-, kuolleisuus-, työkyvyttömyys- ja lääkekorvausindeksi sekä kansantauti-indeksi Helsingin suur- ja peruspiireillä suhteessa Helsingin keskiarvoon vuonna 2021.Lähde: Kaupunkitieto / Helsingin kaupunki, Lähdeaineistot: Kela ja Tilastokeskus.;;;;;;;
Suurpiiri;Alue;SAIRASTAVUUSINDEKSI;Kuolleisuusindeksi;Työkyvyttömyysindeksi;Lääkekorvausoikeusindeksi;KANSANTAUTI-INDEKSI;Väestö 31.12.2021
HELSINKI;HELSINKI;100;100;100;100;100;658.457
1 ETELÄINEN SUURPIIRI;1 ETELÄINEN SUURPIIRI;76;77;62;89;80;121.157
1 ETELÄINEN SUURPIIRI;Vironniemi;68;70;47;86;76;12.794
1 ETELÄINEN SUURPIIRI;Ullanlinna;66;73;43;81;68;24.636
1 ETELÄINEN SUURPIIRI;Kampinmalmi;83;75;79;95;89;43.738
1 ETELÄINEN SUURPIIRI;Taka-Töölö;88;96;78;90;86;15.253
1 ETELÄINEN SUURPIIRI;Lauttasaari;71;72;52;89;76;24.736
2 LÄNTINEN SUURPIIRI;2 LÄNTINEN SUURPIIRI;100;96;104;100;100;112.045
2 LÄNTINEN SUURPIIRI;Reijola;100;88;110;102;101;16.767
2 LÄNTINEN SUURPIIRI;Munkkiniemi;85;79;83;94;90;18.844
2 LÄNTINEN SUURPIIRI;Haaga;104;112;101;100;103;27.612
2 LÄNTINEN SUURPIIRI;Pitäjänmäki;100;92;112;96;104;18.322
2 LÄNTINEN SUURPIIRI;Kaarela;105;102;111;103;109;30.5
3 KESKINEN SUURPIIRI;3 KESKINEN SUURPIIRI;107;112;107;102;104;98.64
3 KESKINEN SUURPIIRI;Kallio;107;109;111;100;105;33.615
3 KESKINEN SUURPIIRI;Alppiharju;128;135;148;102;112;11.653
3 KESKINEN SUURPIIRI;Vallila;104;111;99;103;111;16.771
3 KESKINEN SUURPIIRI;Pasila;102;109;89;108;106;11.239
3 KESKINEN SUURPIIRI;Vanhakaupunki;105;111;104;102;103;25.362
4 POHJOINEN SUURPIIRI;4 POHJOINEN SUURPIIRI;92;90;89;97;89;42.973
4 POHJOINEN SUURPIIRI;Maunula;106;105;113;101;105;8.999
4 POHJOINEN SUURPIIRI;Länsi-Pakila;80;83;63;93;80;7.053
4 POHJOINEN SUURPIIRI;Tuomarinkylä;76;79;52;95;74;8.687
4 POHJOINEN SUURPIIRI;Oulunkylä;103;94;115;100;100;14.581
4 POHJOINEN SUURPIIRI;Itä-Pakila;77;81;59;92;82;3.653
5 KOILLINEN SUURPIIRI;5 KOILLINEN SUURPIIRI;106;108;105;105;108;99.351
5 KOILLINEN SUURPIIRI;Latokartano;102;94;109;102;107;24.487
5 KOILLINEN SUURPIIRI;Pukinmäki;116;130;115;102;108;8.722
5 KOILLINEN SUURPIIRI;Malmi;108;111;106;107;112;29.202
5 KOILLINEN SUURPIIRI;Suutarila;97;97;87;106;113;11.326
5 KOILLINEN SUURPIIRI;Puistola;99;111;87;99;103;20.149
5 KOILLINEN SUURPIIRI;Jakomäki;131;126;151;116;121;5.465
6 KAAKKOINEN SUURPIIRI;6 KAAKKOINEN SUURPIIRI;95;90;94;100;96;56.728
6 KAAKKOINEN SUURPIIRI;Kulosaari;61;60;43;79;66;4.052
6 KAAKKOINEN SUURPIIRI;Herttoniemi;103;101;105;105;108;30.523
6 KAAKKOINEN SUURPIIRI;Laajasalo;90;82;89;97;89;22.153
7 ITÄINEN SUURIPIIRI;7 ITÄINEN SUURIPIIRI;108;103;119;102;105;112.853
7 ITÄINEN SUURIPIIRI;Vartiokylä;103;109;104;98;98;21.626
7 ITÄINEN SUURIPIIRI;Myllypuro;114;99;138;105;110;12.821
7 ITÄINEN SUURIPIIRI;Mellunkylä;115;113;130;103;112;39.749
7 ITÄINEN SUURIPIIRI;Vuosaari;102;91;113;103;105;38.657
