Kaupungin järjestämät (itse tuotetut ja ostetut) avoterveydenhoitokäynnit ja hoitopuhelut potilaan asuinalueen mukaan 2020;;;;;;;;;;;;;
Besök och vårdsamtal inom den öppna hälsovården ordnad av staden (egen eller köpt), enligt patientens hemdistrikt ;;;;;;;;;;;;;
5.5;;;;;;;;;;;;;
Visits and phone calls within non-hospital health care provided by the Helsinki City (city's own or outsourced services), by clients' home district ;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;Käyntejä ja hoitopuheluja - Besök och vårdsamtal;;;Käyntejä ja hoitopuheluja asukasta kohden - Besök och vårdsamtal per invånare;;;;;;;;
;;;;;Yhteensä;Perusterveydenhuolto (PTH);;;;;;;
;;Yhteensä;Perusterveydenhuolto (PTH);Erikoissairaanhoito;Totalt;Primärhälsovård (PHV);;;;;;;
;;Totalt;Primärhälsovård (PHV);Specialsjukvård;;;;;;;;;
Helsinkiläiset yhteensä - Helsingforsarna totalt;;7,479,807;6,150,493;872,955;11.4;9.4;2.0;2.8;4.8;0.5;1.3;1.4;0.6
Eteläinen suurpiiri - Södra stordistriktet;;1,048,409;841,260;138,984;8.6;6.9;1.7;2.0;3.4;0.4;1.1;1.3;0.4
;Vironniemi - Estnäs;114,343;92,330;13,062;8.9;7.1;1.7;1.9;3.8;0.4;1.0;1.3;0.4
;Ullanlinnna - Ulrikasborg;181,231;142,453;24,820;7.3;5.7;1.6;1.7;2.7;0.4;1.0;1.2;0.4
;Kampinmalmi - Kampmalmen;346,855;272,502;48,269;8.0;6.3;1.7;2.0;2.8;0.4;1.1;1.3;0.5
;Taka-Töölö - Bortre Tölö;169,099;139,848;19,997;10.9;9.0;1.9;2.0;5.3;0.4;1.3;1.3;0.6
;Lauttasaari - Drumsö;236,744;194,037;32,822;9.5;7.8;1.7;2.2;3.8;0.4;1.3;1.3;0.4
Läntinen suurpiiri - Västra stordistriktet;;1,437,940;1,204,233;148,773;12.8;10.8;2.1;2.6;6.4;0.5;1.3;1.5;0.6
;Reijola - Grejus;197,342;158,965;22,631;11.5;9.3;2.2;2.4;5.1;0.4;1.3;1.6;0.7
;Munkkiniemi - Munksnäs;264,293;228,624;23,557;14.2;12.3;1.9;2.2;8.4;0.5;1.3;1.5;0.5
;Haaga - Haga;402,007;344,326;36,140;14.5;12.4;2.1;2.7;7.9;0.5;1.3;1.4;0.7
;Pitäjänmäki - Sockenbacka;235,035;196,047;26,533;12.9;10.7;2.1;2.8;6.0;0.6;1.5;1.5;0.7
;Kaarela - Kårböle;339,228;276,236;39,887;11.2;9.1;2.1;2.6;4.6;0.6;1.3;1.4;0.6
Keskinen suurpiiri - Västra stordistriktet;;1,092,425;898,143;117,032;11.3;9.3;2.0;3.0;4.6;0.4;1.2;1.3;0.7
;Kallio - Berghäll;355,473;289,891;36,207;11.0;8.9;2.0;3.0;4.4;0.4;1.1;1.3;0.8
;Alppiharju - Åshöjden;137,188;112,133;12,768;11.5;9.4;2.1;3.1;4.8;0.4;1.1;1.2;0.9
;Vallila - Vallgård;174,450;140,404;21,153;10.4;8.3;2.0;3.1;3.6;0.4;1.3;1.3;0.7
;Pasila - Böle;132,719;111,380;13,379;12.9;10.8;2.1;3.1;6.0;0.5;1.3;1.4;0.6
;Vanhakaupunki - Gammelstaden;292,500;244,246;33,505;11.7;9.8;1.9;3.0;5.0;0.5;1.3;1.3;0.6
Pohjoinen suurpiiri - Norra stordistriktet;;544,388;460,054;59,598;12.6;10.6;1.9;2.9;5.8;0.5;1.4;1.4;0.5
;Maunula - Månsas;157,121;136,997;13,074;17.0;14.8;2.2;3.3;9.5;0.6;1.4;1.5;0.7
;Länsi-Pakila - Västra Baggböle;68,147;55,491;8,778;9.7;7.9;1.8;2.7;3.5;0.5;1.3;1.4;0.4
;Tuomarinkylä - Domarby;77,190;62,674;11,283;8.8;7.2;1.7;2.7;2.6;0.6;1.3;1.3;0.4
;Oulunkylä - Åggelby;198,630;168,669;21,517;13.5;11.5;2.0;3.0;6.5;0.5;1.5;1.4;0.6
;Itä-Pakila - Östra Baggböle;43,300;36,223;4,946;11.9;9.9;1.9;2.5;5.6;0.5;1.4;1.5;0.4
Koillinen suurpiiri - Nordöstra stordistriktet;;1,170,277;956,969;145,208;11.7;9.5;2.1;3.0;4.5;0.6;1.4;1.5;0.7
;Latokartano - Ladugården;306,082;253,814;34,776;12.3;10.2;2.1;2.8;5.5;0.5;1.4;1.4;0.7
;Pukinmäki - Bocksbacka;108,591;89,358;13,176;12.4;10.2;2.2;3.3;4.8;0.6;1.5;1.5;0.7
;Malmi - Malm;336,061;273,158;41,977;11.5;9.4;2.2;3.1;4.2;0.6;1.4;1.5;0.6
;Suutarila - Skomakarböle;128,051;102,730;17,063;11.2;9.0;2.2;3.0;3.8;0.6;1.5;1.6;0.6
;Puistola - Parkstads;203,845;163,567;29,173;10.0;8.0;2.0;2.8;3.3;0.5;1.4;1.4;0.6
;Jakomäki - Jakobacka;87,637;74,332;9,036;15.6;13.2;2.4;3.6;7.4;0.6;1.6;1.6;0.7
Kaakkoinen suurpiiri - Sydöstra stordistriktet;;618,177;510,143;77,699;11.1;9.1;1.9;3.1;4.2;0.5;1.4;1.3;0.6
;Kulosaari - Brändö;51,189;44,536;5,104;12.4;10.8;1.6;2.4;6.8;0.4;1.2;1.3;0.3
;Herttoniemi - Hertonäs;372,406;311,352;43,187;12.3;10.3;2.0;3.3;5.0;0.5;1.4;1.4;0.6
;Laajasalo - Degerö;194,556;154,232;29,407;9.1;7.2;1.9;2.8;2.5;0.4;1.4;1.3;0.6
Itäinen suurpiiri - Östra stordistriktet;;1,466,261;1,220,951;167,874;13.0;10.8;2.2;3.3;5.4;0.6;1.5;1.5;0.7
;Vartiokylä - Botby;246,847;203,841;30,412;11.3;9.3;2.0;2.8;4.6;0.6;1.4;1.4;0.6
;Myllypuro - Kvarnbäcken;184,922;156,858;19,371;14.6;12.4;2.2;3.1;7.1;0.6;1.5;1.5;0.7
;Mellunkylä - Mellungsby;527,256;438,508;58,099;13.4;11.1;2.3;3.5;5.6;0.6;1.5;1.6;0.7
;Vuosaari - Nordsjö;507,184;421,693;59,971;13.0;10.8;2.2;3.5;5.2;0.6;1.5;1.5;0.7
Östersundom;;8,559;6,341;1,877;4.7;3.5;1.2;1.5;0.6;0.4;1.0;1.0;0.2
;Östersundom;8,559;6,341;1,877;4.7;3.5;1.2;1.5;0.6;0.4;1.0;1.0;0.2
Huom. Kaikk iabsoluuttiset luvut www.HRI.fi;;;;;;;;;;;;;
Anm. Alla absoluta siffror www.HRI.fi;;;;;;;;;;;;;
;;;;;;;;;;;;;
Lähde: Sosiaali- ja terveystoimiala.;;;;;;;;;;;;;
Källa: Social- och hälsovårdssektorn.;;;;;;;;;;;;;
