Taulu 11D Koko väestö sekä ulkomaalaistaustaiset1 maan ja iän mukaan suurpiireittäin vuodenvaihteessa 2021/2022. Lähde: Tilastokeskus ;;;;;;;;;;
Suurpiiri;Maaryhmä;Yhteensä;Ikä, vuotta 0-6;Ikä, vuotta 7-15;Ikä, vuotta 16-24;Ikä, vuotta 25-29;Ikä, vuotta 30-44;Ikä, vuotta 45-64;Ikä, vuotta 65-74;Ikä, vuotta 75+
Koko Helsinki ;Asukkaat yhteensä ;658,457;44,030;56,065;64,916;59,799;164,240;153,425;62,688;53,294
Koko Helsinki ;Ulkomaat yhteensä ;115,927;10,283;12,368;12,129;11,772;38,885;23,975;4,356;2,159
Koko Helsinki ;Eurooppa ;48,598;2,866;4,086;4,406;4,206;15,775;12,605;3,074;1,580
Koko Helsinki ;Eurooppa - EU-maat ;22,966;1,255;1,801;1,918;2,017;8,271;6,145;1,118;441
Koko Helsinki ;Eurooppa - EU-maat - Viro ;11,691;654;1,197;1,127;686;3,486;3,823;634;84
Koko Helsinki ;Eurooppa - EU-maat - Ruotsi ;986;85;121;109;79;267;178;62;85
Koko Helsinki ;Eurooppa - EU-maat - 2000-luvulla liittyneet (pl. Viro) ;4,075;273;320;312;427;1,636;843;184;80
Koko Helsinki ;Eurooppa - Muu Pohjois- ja Länsi-Eurooppa ;1,937;36;41;52;219;756;605;142;86
Koko Helsinki ;Eurooppa - Muu Eurooppa ;23,695;1,575;2,244;2,436;1,970;6,748;5,855;1,814;1,053
Koko Helsinki ;Eurooppa - Muu Eurooppa - Venäjä ;1,763;189;93;405;697;198;128;31;22
Koko Helsinki ;Eurooppa - Muu Eurooppa - Entinen Neuvostoliitto ;18,638;1,080;1,776;1,606;803;5,558;5,118;1,691;1,006
Koko Helsinki ;Afrikka ;23,214;3,566;3,875;3,169;2,270;6,231;3,634;355;114
Koko Helsinki ;Pohjois-Amerikka ;1,949;75;102;110;227;810;456;104;65
Koko Helsinki ;Latinalainen Amerikka ja Karibia ;2,879;117;101;160;272;1,482;654;58;35
Koko Helsinki ;Kaakkois- ja Itä-Aasia ;11,767;671;836;1,231;1,642;4,634;2,403;268;82
Koko Helsinki ;Etelä-, Länsi- ja Keski-Aasia ;25,232;2,933;3,332;2,891;2,788;8,912;3,789;432;155
Koko Helsinki ;Oseania ;405;9;10;14;47;221;89;10;5
Koko Helsinki ;Valtioton ja tuntematon ;1,883;46;26;148;320;820;345;55;123
2 Eteläinen suurpiiri ;Asukkaat yhteensä ;121,157;7,216;8,618;12,714;13,613;31,199;26,841;11,020;9,936
3 Eteläinen suurpiiri ;Ulkomaat yhteensä ;12,513;649;747;920;1,520;5,273;2,597;449;358
4 Eteläinen suurpiiri ;Eurooppa ;6,501;290;327;474;817;2,569;1,474;301;249
5 Eteläinen suurpiiri ;Eurooppa - EU-maat ;3,224;135;127;215;388;1,376;744;116;123
6 Eteläinen suurpiiri ;Eurooppa - EU-maat - Viro ;717;30;38;67;59;271;221;21;10
7 Eteläinen suurpiiri ;Eurooppa - EU-maat - Ruotsi ;268;14;14;26;18;85;71;15;25
8 Eteläinen suurpiiri ;Eurooppa - EU-maat - 2000-luvulla liittyneet (pl. Viro) ;588;29;35;39;66;261;113;28;17
9 Eteläinen suurpiiri ;Eurooppa - Muu Pohjois- ja Länsi-Eurooppa ;563;13;29;13;47;212;185;36;28
10 Eteläinen suurpiiri ;Eurooppa - Muu Eurooppa ;2,714;142;171;246;382;981;545;149;98
11 Eteläinen suurpiiri ;Eurooppa - Muu Eurooppa - Venäjä ;284;15;8;51;169;25;12;- ;-
12 Eteläinen suurpiiri ;Eurooppa - Muu Eurooppa - Entinen Neuvostoliitto ;2,161;113;145;175;143;854;493;142;96
13 Eteläinen suurpiiri ;Afrikka ;841;78;82;102;103;295;146;22;13
14 Eteläinen suurpiiri ;Pohjois-Amerikka ;678;30;44;38;73;274;159;37;23
15 Eteläinen suurpiiri ;Latinalainen Amerikka ja Karibia ;740;31;27;38;60;412;148;14;10
