Taulu 17C Yksinasuvat (=yhden hengen asuntokunnat) sukupuolen ja iän mukaan peruspiireittäin vuodevaihteessa 2021/2022. Lähde: Tilastokeskus;;;;;;;;;;;;;;
Suurpiiri;Peruspiiri;Sukupuoli;Yhteensä;Ikä, vuotta -19;Ikä, vuotta 20-29;Ikä, vuotta 30-39;Ikä, vuotta 40-49;Ikä, vuotta 50-59;Ikä, vuotta 60-64;Ikä, vuotta 65-69;Ikä, vuotta 70-74;Ikä, vuotta 75-79;Ikä, vuotta 80-84;Ikä, vuotta '85-
Koko Helsinki;Koko Helsinki;Yhteensä ;175,045;2,266;36,455;29,909;19,363;23,806;12,679;12,200;12,212;10,130;7,711;8,314
Koko Helsinki;Koko Helsinki;Miehet ;74,602;774;16,254;16,608;11,534;11,258;4,956;4,094;3,450;2,511;1,576;1,587
Koko Helsinki;Koko Helsinki;Naiset ;100,443;1,492;20,201;13,301;7,829;12,548;7,723;8,106;8,762;7,619;6,135;6,727
1 Eteläinen suurpiiri;1 Eteläinen suurpiiri;Yhteensä ;34,844;523;9,313;6,309;3,906;4,048;1,968;1,967;2,137;1,932;1,354;1,387
1 Eteläinen suurpiiri;1 Eteläinen suurpiiri;Miehet ;14,307;166;3,891;3,226;2,220;1,867;760;619;547;460;271;280
1 Eteläinen suurpiiri;1 Eteläinen suurpiiri;Naiset ;20,537;357;5,422;3,083;1,686;2,181;1,208;1,348;1,590;1,472;1,083;1,107
1 Eteläinen suurpiiri;  101 Vironniemi;Yhteensä ;3,231;49;721;478;371;408;186;226;250;221;178;143
1 Eteläinen suurpiiri;  101 Vironniemi;Miehet ;1,306;18;293;248;210;195;80;67;76;53;43;23
1 Eteläinen suurpiiri;  101 Vironniemi;Naiset ;1,925;31;428;230;161;213;106;159;174;168;135;120
1 Eteläinen suurpiiri;  102 Ullanlinna;Yhteensä ;7,692;120;2,101;1,406;896;908;469;430;423;394;280;265
1 Eteläinen suurpiiri;  102 Ullanlinna;Miehet ;3,117;28;847;647;517;427;191;132;109;84;70;65
1 Eteläinen suurpiiri;  102 Ullanlinna;Naiset ;4,575;92;1,254;759;379;481;278;298;314;310;210;200
1 Eteläinen suurpiiri;  103 Kampinmalmi;Yhteensä ;12,223;222;3,633;2,240;1,373;1,440;684;619;680;595;379;358
1 Eteläinen suurpiiri;  103 Kampinmalmi;Miehet ;5,299;77;1,598;1,238;795;661;278;178;162;162;69;81
1 Eteläinen suurpiiri;  103 Kampinmalmi;Naiset ;6,924;145;2,035;1,002;578;779;406;441;518;433;310;277
1 Eteläinen suurpiiri;  104 Taka-Töölö;Yhteensä ;5,214;88;1,480;961;545;563;263;268;306;306;206;228
1 Eteläinen suurpiiri;  104 Taka-Töölö;Miehet ;2,000;29;557;449;296;257;87;100;78;69;31;47
1 Eteläinen suurpiiri;  104 Taka-Töölö;Naiset ;3,214;59;923;512;249;306;176;168;228;237;175;181
1 Eteläinen suurpiiri;  105 Lauttasaari;Yhteensä ;6,484;44;1,378;1,224;721;729;366;424;478;416;311;393
1 Eteläinen suurpiiri;  105 Lauttasaari;Miehet ;2,585;14;596;644;402;327;124;142;122;92;58;64
1 Eteläinen suurpiiri;  105 Lauttasaari;Naiset ;3,899;30;782;580;319;402;242;282;356;324;253;329
2 Läntinen suurpiiri;2 Läntinen suurpiiri;Yhteensä ;32,983;447;6,651;5,666;3,572;4,270;2,358;2,352;2,313;2,025;1,517;1,812
2 Läntinen suurpiiri;2 Läntinen suurpiiri;Miehet ;13,486;152;2,924;3,101;2,097;1,899;858;801;644;439;289;282
2 Läntinen suurpiiri;2 Läntinen suurpiiri;Naiset ;19,497;295;3,727;2,565;1,475;2,371;1,500;1,551;1,669;1,586;1,228;1,530
2 Läntinen suurpiiri;  201 Reijola;Yhteensä ;5,383;64;1,185;900;560;680;399;356;336;333;255;315
2 Läntinen suurpiiri;  201 Reijola;Miehet ;1,926;22;449;456;294;251;122;107;76;59;48;42
2 Läntinen suurpiiri;  201 Reijola;Naiset ;3,457;42;736;444;266;429;277;249;260;274;207;273
2 Läntinen suurpiiri;  202 Munkkiniemi;Yhteensä ;5,387;59;1,050;798;504;642;358;364;391;396;325;500
2 Läntinen suurpiiri;  202 Munkkiniemi;Miehet ;1,857;14;400;389;275;253;109;114;106;78;46;73
2 Läntinen suurpiiri;  202 Munkkiniemi;Naiset ;3,530;45;650;409;229;389;249;250;285;318;279;427
2 Läntinen suurpiiri;  203 Haaga;Yhteensä ;9,958;169;2,357;1,953;1,049;1,124;608;611;621;528;411;527
2 Läntinen suurpiiri;  203 Haaga;Miehet ;4,248;53;1,025;1,045;612;539;264;226;192;129;84;79
2 Läntinen suurpiiri;  203 Haaga;Naiset ;5,710;116;1,332;908;437;585;344;385;429;399;327;448
2 Läntinen suurpiiri;  204 Pitäjänmäki;Yhteensä ;5,078;62;859;829;597;774;410;410;383;307;233;214
2 Läntinen suurpiiri;  204 Pitäjänmäki;Miehet ;2,334;29;451;524;390;373;153;148;107;67;50;42
2 Läntinen suurpiiri;  204 Pitäjänmäki;Naiset ;2,744;33;408;305;207;401;257;262;276;240;183;172
2 Läntinen suurpiiri;  205 Kaarela;Yhteensä ;7,177;93;1,200;1,186;862;1,050;583;611;582;461;293;256
2 Läntinen suurpiiri;  205 Kaarela;Miehet ;3,121;34;599;687;526;483;210;206;163;106;61;46
2 Läntinen suurpiiri;  205 Kaarela;Naiset ;4,056;59;601;499;336;567;373;405;419;355;232;210
