"Alue,""Sukupuoli"",""Koulutusaste"",""15 vuotta tayttaneet yhteensa 2021"",""15-24-vuotiaat 2021"",""25-44-vuotiaat 2021"",""45-64-vuotiaat 2021"",""Yli 65-vuotiaat 2021"""
"091 101 Vironniemen peruspiiri,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",11310,1393,4085,3192,2640"
"091 101 Vironniemen peruspiiri,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",9651,846,3619,2938,2248"
"091 101 Vironniemen peruspiiri,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",2888,720,990,698,480"
"091 101 Vironniemen peruspiiri,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",2644,121,1024,737,762"
"091 101 Vironniemen peruspiiri,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",4119,5,1605,1503,1006"
"091 101 Vironniemen peruspiiri,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",1659,547,466,254,392"
"091 101 Vironniemen peruspiiri,""Miehet"",""Kaikki koulutusasteet"",5234,602,1984,1558,1090"
"091 101 Vironniemen peruspiiri,""Miehet"",""Tutkinnon suorittaneita yhteensa"",4405,342,1712,1400,951"
"091 101 Vironniemen peruspiiri,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1439,297,562,399,181"
"091 101 Vironniemen peruspiiri,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1014,43,427,299,245"
"091 101 Vironniemen peruspiiri,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1952,2,723,702,525"
"091 101 Vironniemen peruspiiri,""Miehet"",""Perusaste tai tuntematon"",829,260,272,158,139"
"091 101 Vironniemen peruspiiri,""Naiset"",""Kaikki koulutusasteet"",6076,791,2101,1634,1550"
"091 101 Vironniemen peruspiiri,""Naiset"",""Tutkinnon suorittaneita yhteensa"",5246,504,1907,1538,1297"
"091 101 Vironniemen peruspiiri,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1449,423,428,299,299"
"091 101 Vironniemen peruspiiri,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1630,78,597,438,517"
"091 101 Vironniemen peruspiiri,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",2167,3,882,801,481"
"091 101 Vironniemen peruspiiri,""Naiset"",""Perusaste tai tuntematon"",830,287,194,96,253"
"091 10 Kruununhaka,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",6403,846,2432,1806,1319"
"091 10 Kruununhaka,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",5539,536,2177,1691,1135"
"091 10 Kruununhaka,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1619,450,566,372,231"
"091 10 Kruununhaka,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1486,83,604,429,370"
"091 10 Kruununhaka,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",2434,3,1007,890,534"
"091 10 Kruununhaka,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",864,310,255,115,184"
"091 10 Kruununhaka,""Miehet"",""Kaikki koulutusasteet"",2923,340,1159,877,547"
"091 10 Kruununhaka,""Miehet"",""Tutkinnon suorittaneita yhteensa"",2497,201,1010,806,480"
"091 10 Kruununhaka,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",798,175,308,225,90"
"091 10 Kruununhaka,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",576,25,243,180,128"
"091 10 Kruununhaka,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1123,1,459,401,262"
"091 10 Kruununhaka,""Miehet"",""Perusaste tai tuntematon"",426,139,149,71,67"
"091 10 Kruununhaka,""Naiset"",""Kaikki koulutusasteet"",3480,506,1273,929,772"
"091 10 Kruununhaka,""Naiset"",""Tutkinnon suorittaneita yhteensa"",3042,335,1167,885,655"
"091 10 Kruununhaka,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",821,275,258,147,141"
"091 10 Kruununhaka,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",910,58,361,249,242"
"091 10 Kruununhaka,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1311,2,548,489,272"
