"Osa-alue,""2022 Yhteensa Yhteensa"",""2022 Yhteensa Omakoti- ja paritalot"",""2022 Yhteensa Rivitalot"",""2022 Yhteensa Kerrostalot"",""2022 Yhteensa Muut rakennukset"",""2022 - 1920 Yhteensa"",""2022 - 1920 Omakoti- ja paritalot"",""2022 - 1920 Rivitalot"",""2022 - 1920 Kerrostalot"",""2022 - 1920 Muut rakennukset"",""2022 1921 - 1939 Yhteensa"",""2022 1921 - 1939 Omakoti- ja paritalot"",""2022 1921 - 1939 Rivitalot"",""2022 1921 - 1939 Kerrostalot"",""2022 1921 - 1939 Muut rakennukset"",""2022 1940 - 1959 Yhteensa"",""2022 1940 - 1959 Omakoti- ja paritalot"",""2022 1940 - 1959 Rivitalot"",""2022 1940 - 1959 Kerrostalot"",""2022 1940 - 1959 Muut rakennukset"",""2022 1960 - 1969 Yhteensa"",""2022 1960 - 1969 Omakoti- ja paritalot"",""2022 1960 - 1969 Rivitalot"",""2022 1960 - 1969 Kerrostalot"",""2022 1960 - 1969 Muut rakennukset"",""2022 1970 - 1979 Yhteensa"",""2022 1970 - 1979 Omakoti- ja paritalot"",""2022 1970 - 1979 Rivitalot"",""2022 1970 - 1979 Kerrostalot"",""2022 1970 - 1979 Muut rakennukset"",""2022 1980 - 1989 Yhteensa"",""2022 1980 - 1989 Omakoti- ja paritalot"",""2022 1980 - 1989 Rivitalot"",""2022 1980 - 1989 Kerrostalot"",""2022 1980 - 1989 Muut rakennukset"",""2022 1990 - 1999 Yhteensa"",""2022 1990 - 1999 Omakoti- ja paritalot"",""2022 1990 - 1999 Rivitalot"",""2022 1990 - 1999 Kerrostalot"",""2022 1990 - 1999 Muut rakennukset"",""2022 2000 - 2009 Yhteensa"",""2022 2000 - 2009 Omakoti- ja paritalot"",""2022 2000 - 2009 Rivitalot"",""2022 2000 - 2009 Kerrostalot"",""2022 2000 - 2009 Muut rakennukset"",""2022 2010 - 2019 Yhteensa"",""2022 2010 - 2019 Omakoti- ja paritalot"",""2022 2010 - 2019 Rivitalot"",""2022 2010 - 2019 Kerrostalot"",""2022 2010 - 2019 Muut rakennukset"",""2022 2020 Yhteensa"",""2022 2020 Omakoti- ja paritalot"",""2022 2020 Rivitalot"",""2022 2020 Kerrostalot"",""2022 2020 Muut rakennukset"",""2022 Tuntematon Yhteensa"",""2022 Tuntematon Omakoti- ja paritalot"",""2022 Tuntematon Rivitalot"",""2022 Tuntematon Kerrostalot"",""2022 Tuntematon Muut rakennukset"""
091 101 Vironniemen peruspiiri,8495,5,6,8087,397,3924,4,6,3712,202,2144,0,0,2032,112,553,0,0,494,59,101,0,0,95,6,189,0,0,188,1,1029,0,0,1027,2,79,1,0,63,15,197,0,0,197,0,169,0,0,169,0,110,0,0,110,0,0,0,0,0,0
091 10 Kruununhaka,4823,2,0,4569,252,2305,..,0,2177,126,1909,0,0,1842,67,367,0,0,312,55,99,0,0,95,4,0,0,0,0,0,87,0,0,87,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,45,0,0,45,0,0,0,0,0,0
091 20 Kluuvi,630,1,6,491,132,247,0,6,177,64,121,0,0,76,45,4,0,0,0,4,1,0,0,0,..,76,0,0,75,1,2,0,0,0,..,48,..,0,32,15,0,0,0,0,0,131,0,0,131,0,0,0,0,0,0,0,0,0,0,0
091 80 Katajanokka,3042,2,0,3027,13,1372,..,0,1358,12,114,0,0,114,0,182,0,0,182,0,1,0,0,0,..,113,0,0,113,0,940,0,0,940,0,20,0,0,20,0,197,0,0,197,0,38,0,0,38,0,65,0,0,65,0,0,0,0,0,0
091 102 Ullanlinnan peruspiiri,17085,62,30,16617,376,6439,36,23,6088,292,5489,3,0,5428,58,979,3,0,959,17,2378,0,0,2372,6,764,0,0,761,3,164,4,4,156,0,31,9,3,19,0,559,2,0,557,0,141,5,0,136,0,141,0,0,141,0,0,0,0,0,0
091 30 Kaartinkaupunki,771,0,0,579,192,586,0,0,417,169,145,0,0,128,17,3,0,0,0,3,35,0,0,34,1,2,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091 50 Punavuori,6683,5,3,6565,110,1727,3,3,1646,75,2109,0,0,2086,23,524,0,0,514,10,1340,0,0,1338,2,388,0,0,388,0,113,0,0,113,0,0,0,0,0,0,347,0,0,347,0,62,2,0,60,0,73,0,0,73,0,0,0,0,0,0
091 60 Eira,692,11,0,662,19,522,11,0,509,2,78,0,0,61,17,20,0,0,20,0,48,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091 70 Ullanlinna,7400,17,0,7359,24,3071,6,0,3043,22,2823,2,0,2821,0,255,1,0,253,1,872,0,0,872,0,199,0,0,198,1,30,2,0,28,0,2,..,0,0,0,1,..,0,0,0,79,3,0,76,0,68,0,0,68,0,0,0,0,0,0
091 90 Kaivopuisto,294,3,0,286,5,39,1,0,35,3,95,0,0,95,0,90,1,0,88,1,14,0,0,13,1,23,0,0,23,0,16,1,0,15,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
