"Alue,""Tulotyyppi"",""2017"""
"091 101 Vironniemen peruspiiri,""Asuntokunnat"",6703"
"091 101 Vironniemen peruspiiri,""Henkilot"",12608"
"091 101 Vironniemen peruspiiri,""Valtionveronalaiset tulot yhteensa 100 €"",5996413"
"091 101 Vironniemen peruspiiri,""Valtionveronalaiset tulot € / asuntokunta"",89459"
"091 101 Vironniemen peruspiiri,""Valtionveronalaiset tulot € / henkilo"",47560"
"091 101 Vironniemen peruspiiri,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",4966952"
"091 101 Vironniemen peruspiiri,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",74100"
"091 101 Vironniemen peruspiiri,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",39395"
"091 101 Vironniemen peruspiiri,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",4326767"
"091 101 Vironniemen peruspiiri,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",64550"
"091 101 Vironniemen peruspiiri,""Kunnallisverotuksessa verotettava tulo € / henkilo"",34318"
"091 10 Kruununhaka,""Asuntokunnat"",4029"
"091 10 Kruununhaka,""Henkilot"",7444"
"091 10 Kruununhaka,""Valtionveronalaiset tulot yhteensa 100 €"",3281338"
"091 10 Kruununhaka,""Valtionveronalaiset tulot € / asuntokunta"",81443"
"091 10 Kruununhaka,""Valtionveronalaiset tulot € / henkilo"",44080"
"091 10 Kruununhaka,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",2862081"
"091 10 Kruununhaka,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",71037"
"091 10 Kruununhaka,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",38448"
"091 10 Kruununhaka,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",2474736"
"091 10 Kruununhaka,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",61423"
"091 10 Kruununhaka,""Kunnallisverotuksessa verotettava tulo € / henkilo"",33245"
"091 20 Kluuvi,""Asuntokunnat"",370"
"091 20 Kluuvi,""Henkilot"",641"
"091 20 Kluuvi,""Valtionveronalaiset tulot yhteensa 100 €"",536860"
"091 20 Kluuvi,""Valtionveronalaiset tulot € / asuntokunta"",145097"
"091 20 Kluuvi,""Valtionveronalaiset tulot € / henkilo"",83753"
"091 20 Kluuvi,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",376968"
"091 20 Kluuvi,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",101883"
"091 20 Kluuvi,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",58809"
"091 20 Kluuvi,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",337060"
"091 20 Kluuvi,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",91097"
"091 20 Kluuvi,""Kunnallisverotuksessa verotettava tulo € / henkilo"",52583"
"091 80 Katajanokka,""Asuntokunnat"",2304"
"091 80 Katajanokka,""Henkilot"",4523"
"091 80 Katajanokka,""Valtionveronalaiset tulot yhteensa 100 €"",2178215"
"091 80 Katajanokka,""Valtionveronalaiset tulot € / asuntokunta"",94541"
"091 80 Katajanokka,""Valtionveronalaiset tulot € / henkilo"",48159"
"091 80 Katajanokka,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",1727903"
"091 80 Katajanokka,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",74996"
"091 80 Katajanokka,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",38203"
"091 80 Katajanokka,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",1514971"
"091 80 Katajanokka,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",65754"
"091 80 Katajanokka,""Kunnallisverotuksessa verotettava tulo € / henkilo"",33495"
"091 102 Ullanlinnan peruspiiri,""Asuntokunnat"",14048"
"091 102 Ullanlinnan peruspiiri,""Henkilot"",24378"
