"Alue,""Perhetyyppi"",""2022"""
"091 101 Vironniemen peruspiiri,""Perheet yhteensa"",3509"
"091 101 Vironniemen peruspiiri,""Aviopari ilman lapsia"",1243"
"091 101 Vironniemen peruspiiri,""Avopari ilman lapsia"",854"
"091 101 Vironniemen peruspiiri,""Aviopari ja lapsia"",798"
"091 101 Vironniemen peruspiiri,""Avopari ja lapsia"",207"
"091 101 Vironniemen peruspiiri,""aiti ja lapsia"",331"
"091 101 Vironniemen peruspiiri,""Isa ja lapsia"",76"
"091 10 Kruununhaka,""Perheet yhteensa"",1869"
"091 10 Kruununhaka,""Aviopari ilman lapsia"",640"
"091 10 Kruununhaka,""Avopari ilman lapsia"",464"
"091 10 Kruununhaka,""Aviopari ja lapsia"",432"
"091 10 Kruununhaka,""Avopari ja lapsia"",120"
"091 10 Kruununhaka,""aiti ja lapsia"",173"
"091 10 Kruununhaka,""Isa ja lapsia"",40"
"091 20 Kluuvi,""Perheet yhteensa"",176"
"091 20 Kluuvi,""Aviopari ilman lapsia"",71"
"091 20 Kluuvi,""Avopari ilman lapsia"",53"
"091 20 Kluuvi,""Aviopari ja lapsia"",34"
"091 20 Kluuvi,""Avopari ja lapsia"",8"
"091 20 Kluuvi,""aiti ja lapsia"",8"
"091 20 Kluuvi,""Isa ja lapsia"",2"
"091 80 Katajanokka,""Perheet yhteensa"",1464"
"091 80 Katajanokka,""Aviopari ilman lapsia"",532"
"091 80 Katajanokka,""Avopari ilman lapsia"",337"
"091 80 Katajanokka,""Aviopari ja lapsia"",332"
"091 80 Katajanokka,""Avopari ja lapsia"",79"
"091 80 Katajanokka,""aiti ja lapsia"",150"
"091 80 Katajanokka,""Isa ja lapsia"",34"
"091 102 Ullanlinnan peruspiiri,""Perheet yhteensa"",6015"
"091 102 Ullanlinnan peruspiiri,""Aviopari ilman lapsia"",1930"
"091 102 Ullanlinnan peruspiiri,""Avopari ilman lapsia"",1612"
"091 102 Ullanlinnan peruspiiri,""Aviopari ja lapsia"",1360"
"091 102 Ullanlinnan peruspiiri,""Avopari ja lapsia"",390"
"091 102 Ullanlinnan peruspiiri,""aiti ja lapsia"",593"
"091 102 Ullanlinnan peruspiiri,""Isa ja lapsia"",130"
"091 30 Kaartinkaupunki,""Perheet yhteensa"",283"
"091 30 Kaartinkaupunki,""Aviopari ilman lapsia"",113"
"091 30 Kaartinkaupunki,""Avopari ilman lapsia"",64"
"091 30 Kaartinkaupunki,""Aviopari ja lapsia"",67"
"091 30 Kaartinkaupunki,""Avopari ja lapsia"",14"
"091 30 Kaartinkaupunki,""aiti ja lapsia"",16"
"091 30 Kaartinkaupunki,""Isa ja lapsia"",9"
"091 50 Punavuori,""Perheet yhteensa"",2112"
"091 50 Punavuori,""Aviopari ilman lapsia"",633"
"091 50 Punavuori,""Avopari ilman lapsia"",687"
"091 50 Punavuori,""Aviopari ja lapsia"",428"
"091 50 Punavuori,""Avopari ja lapsia"",121"
"091 50 Punavuori,""aiti ja lapsia"",197"
"091 50 Punavuori,""Isa ja lapsia"",46"
"091 60 Eira,""Perheet yhteensa"",283"
"091 60 Eira,""Aviopari ilman lapsia"",98"
"091 60 Eira,""Avopari ilman lapsia"",49"
"091 60 Eira,""Aviopari ja lapsia"",78"
"091 60 Eira,""Avopari ja lapsia"",17"
"091 60 Eira,""aiti ja lapsia"",30"
"091 60 Eira,""Isa ja lapsia"",11"
"091 70 Ullanlinna,""Perheet yhteensa"",2739"
"091 70 Ullanlinna,""Aviopari ilman lapsia"",866"
"091 70 Ullanlinna,""Avopari ilman lapsia"",700"
"091 70 Ullanlinna,""Aviopari ja lapsia"",652"
"091 70 Ullanlinna,""Avopari ja lapsia"",184"
"091 70 Ullanlinna,""aiti ja lapsia"",284"
"091 70 Ullanlinna,""Isa ja lapsia"",53"
"091 90 Kaivopuisto,""Perheet yhteensa"",135"
"091 90 Kaivopuisto,""Aviopari ilman lapsia"",68"
"091 90 Kaivopuisto,""Avopari ilman lapsia"",15"
"091 90 Kaivopuisto,""Aviopari ja lapsia"",33"
"091 90 Kaivopuisto,""Avopari ja lapsia"",6"
"091 90 Kaivopuisto,""aiti ja lapsia"",11"
"091 90 Kaivopuisto,""Isa ja lapsia"",2"
"091 204 Hernesaari,""Perheet yhteensa"",278"
"091 204 Hernesaari,""Aviopari ilman lapsia"",112"
"091 204 Hernesaari,""Avopari ilman lapsia"",70"
"091 204 Hernesaari,""Aviopari ja lapsia"",44"
"091 204 Hernesaari,""Avopari ja lapsia"",20"
