"Alue,""aidinkieli"",""Sukupuoli"",""Vaesto yhteensa 2022"",""0-vuotiaat 2022"",""1-vuotiaat 2022"",""2-vuotiaat 2022"",""3-vuotiaat 2022"",""4-vuotiaat 2022"",""5-vuotiaat 2022"",""6-vuotiaat 2022"",""7-vuotiaat 2022"",""8-vuotiaat 2022"",""9-vuotiaat 2022"",""10-vuotiaat 2022"",""11-vuotiaat 2022"",""12-vuotiaat 2022"",""13-vuotiaat 2022"",""14-vuotiaat 2022"",""15-vuotiaat 2022"",""16-vuotiaat 2022"",""17-vuotiaat 2022"",""18-vuotiaat 2022"",""19-vuotiaat 2022"",""20-24-vuotiaat 2022"",""25-29-vuotiaat 2022"",""30-34-vuotiaat 2022"",""35-39-vuotiaat 2022"",""40-44-vuotiaat 2022"",""45-49-vuotiaat 2022"",""50-54-vuotiaat 2022"",""55-59-vuotiaat 2022"",""60-64-vuotiaat 2022"",""65-69-vuotiaat 2022"",""70-74-vuotiaat 2022"",""75-79-vuotiaat 2022"",""80-84-vuotiaat 2022"",""85-89-vuotiaat 2022"",""90-94-vuotiaat 2022"",""Yli 95-vuotiaat 2022"""
"091 101 Vironniemen peruspiiri,""Kaikki aidinkielet"",""Molemmat sukupuolet"",12984,110,85,96,91,87,96,96,113,104,99,92,110,108,92,110,104,115,104,101,125,896,1221,1031,957,915,918,825,847,681,659,714,677,362,147,74,22"
"091 101 Vironniemen peruspiiri,""Kaikki aidinkielet"",""Miehet"",6064,56,47,54,46,49,45,54,54,48,48,40,46,56,51,52,53,58,49,53,39,381,559,486,481,468,448,409,410,331,277,308,297,142,48,17,4"
"091 101 Vironniemen peruspiiri,""Kaikki aidinkielet"",""Naiset"",6920,54,38,42,45,38,51,42,59,56,51,52,64,52,41,58,51,57,55,48,86,515,662,545,476,447,470,416,437,350,382,406,380,220,99,57,18"
"091 101 Vironniemen peruspiiri,""Ruotsi"",""Molemmat sukupuolet"",1259,20,15,16,25,11,17,17,19,20,10,12,17,7,12,15,17,13,13,11,20,97,98,88,84,57,61,76,60,51,63,61,85,42,16,7,6"
"091 101 Vironniemen peruspiiri,""Ruotsi"",""Miehet"",627,11,9,7,11,4,8,5,12,10,5,8,6,2,5,8,7,5,6,6,8,54,43,45,41,40,32,38,33,26,22,32,43,23,7,2,3"
"091 101 Vironniemen peruspiiri,""Ruotsi"",""Naiset"",632,9,6,9,14,7,9,12,7,10,5,4,11,5,7,7,10,8,7,5,12,43,55,43,43,17,29,38,27,25,41,29,42,19,9,5,3"
"091 10 Kruununhaka,""Kaikki aidinkielet"",""Molemmat sukupuolet"",7222,66,48,50,45,48,47,55,52,49,52,43,57,60,51,71,53,64,57,62,75,583,747,602,545,526,498,470,468,361,332,355,322,171,82,40,15"
"091 10 Kruununhaka,""Kaikki aidinkielet"",""Miehet"",3355,34,26,30,22,28,21,28,25,21,22,22,24,29,27,33,29,33,26,26,23,242,336,290,269,269,240,237,226,181,140,154,134,65,30,10,3"
"091 10 Kruununhaka,""Kaikki aidinkielet"",""Naiset"",3867,32,22,20,23,20,26,27,27,28,30,21,33,31,24,38,24,31,31,36,52,341,411,312,276,257,258,233,242,180,192,201,188,106,52,30,12"
"091 10 Kruununhaka,""Ruotsi"",""Molemmat sukupuolet"",753,9,9,6,13,6,13,9,10,11,6,6,6,4,9,11,12,8,10,9,17,65,69,57,40,34,30,52,37,29,33,35,40,24,12,6,6"
"091 10 Kruununhaka,""Ruotsi"",""Miehet"",370,5,4,3,4,3,7,3,5,6,1,3,2,1,2,6,6,4,5,4,7,35,29,29,19,26,17,28,20,17,13,15,17,13,6,2,3"
"091 10 Kruununhaka,""Ruotsi"",""Naiset"",383,4,5,3,9,3,6,6,5,5,5,3,4,3,7,5,6,4,5,5,10,30,40,28,21,8,13,24,17,12,20,20,23,11,6,4,3"
