"Alue","Äidinkieli","Sukupuoli","Väestö yhteensä 2022","0-6-vuotiaat 2022","7-17-vuotiaat 2022","18-29-vuotiaat 2022","30-49-vuotiaat 2022","50-64-vuotiaat 2022","Yli 65-vuotiaat 2022"
"091 101 Vironniemen peruspiiri","Kaikki äidinkielet","Molemmat sukupuolet",12984,661,1151,2343,3821,2353,2655
"091 101 Vironniemen peruspiiri","Kaikki äidinkielet","Miehet",6064,351,555,1032,1883,1150,1093
"091 101 Vironniemen peruspiiri","Kaikki äidinkielet","Naiset",6920,310,596,1311,1938,1203,1562
"091 10 Kruununhaka","Kaikki äidinkielet","Molemmat sukupuolet",7222,359,609,1467,2171,1299,1317
"091 10 Kruununhaka","Kaikki äidinkielet","Miehet",3355,189,291,627,1068,644,536
"091 10 Kruununhaka","Kaikki äidinkielet","Naiset",3867,170,318,840,1103,655,781
"091 20 Kluuvi","Kaikki äidinkielet","Molemmat sukupuolet",666,30,38,127,215,128,128
"091 20 Kluuvi","Kaikki äidinkielet","Miehet",351,15,20,55,122,76,63
"091 20 Kluuvi","Kaikki äidinkielet","Naiset",315,15,18,72,93,52,65
"091 80 Katajanokka","Kaikki äidinkielet","Molemmat sukupuolet",5096,272,504,749,1435,926,1210
"091 80 Katajanokka","Kaikki äidinkielet","Miehet",2358,147,244,350,693,430,494
"091 80 Katajanokka","Kaikki äidinkielet","Naiset",2738,125,260,399,742,496,716
"091 102 Ullanlinnan peruspiiri","Kaikki äidinkielet","Molemmat sukupuolet",24374,1191,2078,5065,7429,4252,4359
"091 102 Ullanlinnan peruspiiri","Kaikki äidinkielet","Miehet",11283,637,1050,2109,3665,2002,1820
"091 102 Ullanlinnan peruspiiri","Kaikki äidinkielet","Naiset",13091,554,1028,2956,3764,2250,2539
"091 30 Kaartinkaupunki","Kaikki äidinkielet","Molemmat sukupuolet",1039,53,80,197,277,219,213
"091 30 Kaartinkaupunki","Kaikki äidinkielet","Miehet",524,31,43,86,152,110,102
"091 30 Kaartinkaupunki","Kaikki äidinkielet","Naiset",515,22,37,111,125,109,111
"091 50 Punavuori","Kaikki äidinkielet","Molemmat sukupuolet",9258,402,655,2294,3067,1369,1471
"091 50 Punavuori","Kaikki äidinkielet","Miehet",4308,224,321,931,1540,676,616
"091 50 Punavuori","Kaikki äidinkielet","Naiset",4950,178,334,1363,1527,693,855
"091 60 Eira","Kaikki äidinkielet","Molemmat sukupuolet",1050,66,133,99,321,233,198
"091 60 Eira","Kaikki äidinkielet","Miehet",502,36,66,51,155,106,88
"091 60 Eira","Kaikki äidinkielet","Naiset",548,30,67,48,166,127,110
"091 70 Ullanlinna","Kaikki äidinkielet","Molemmat sukupuolet",10774,560,959,2140,3147,1943,2025
"091 70 Ullanlinna","Kaikki äidinkielet","Miehet",4859,294,490,881,1519,876,799
"091 70 Ullanlinna","Kaikki äidinkielet","Naiset",5915,266,469,1259,1628,1067,1226
"091 90 Kaivopuisto","Kaikki äidinkielet","Molemmat sukupuolet",437,14,43,47,75,109,149
"091 90 Kaivopuisto","Kaikki äidinkielet","Miehet",217,6,23,24,35,52,77
"091 90 Kaivopuisto","Kaikki äidinkielet","Naiset",220,8,20,23,40,57,72
"091 204 Hernesaari","Kaikki äidinkielet","Molemmat sukupuolet",1152,49,65,249,327,242,220
"091 204 Hernesaari","Kaikki äidinkielet","Miehet",564,21,34,119,171,119,100
"091 204 Hernesaari","Kaikki äidinkielet","Naiset",588,28,31,130,156,123,120
"091 520 Suomenlinna","Kaikki äidinkielet","Molemmat sukupuolet",664,47,143,39,215,137,83
"091 520 Suomenlinna","Kaikki äidinkielet","Miehet",309,25,73,17,93,63,38
"091 520 Suomenlinna","Kaikki äidinkielet","Naiset",355,22,70,22,122,74,45
"091 531 Länsisaaret","Kaikki äidinkielet","Molemmat sukupuolet",..,..,..,..,..,..,..
"091 531 Länsisaaret","Kaikki äidinkielet","Miehet",..,..,..,..,..,..,..
"091 531 Länsisaaret","Kaikki äidinkielet","Naiset",..,..,..,..,..,..,..
