"Alue,""Paaasiallinen toiminta"",""Sukupuoli"",""Vaesto yhteensa 2021"",""15-64-vuotiaat yhteensa 2021"",""0-14-vuotiaat 2021"",""15-29-vuotiaat 2021"",""30-44-vuotiaat 2021"",""45-59-vuotiaat 2021"",""Yli 60-vuotiaat 2021"""
"091 101 Vironniemen peruspiiri,""Koko vaesto"",""Yhteensa"",12794,8670,1484,2574,2904,2503,3329"
"091 101 Vironniemen peruspiiri,""Koko vaesto"",""Miehet"",5992,4144,758,1148,1438,1204,1444"
"091 101 Vironniemen peruspiiri,""Koko vaesto"",""Naiset"",6802,4526,726,1426,1466,1299,1885"
"091 101 Vironniemen peruspiiri,""Tyovoima"",""Yhteensa"",7113,6977,0,1615,2567,2272,659"
"091 101 Vironniemen peruspiiri,""Tyovoima"",""Miehet"",3448,3387,0,710,1306,1102,330"
"091 101 Vironniemen peruspiiri,""Tyovoima"",""Naiset"",3665,3590,0,905,1261,1170,329"
"091 101 Vironniemen peruspiiri,""Tyolliset"",""Yhteensa"",6607,6471,0,1529,2389,2104,585"
"091 101 Vironniemen peruspiiri,""Tyolliset"",""Miehet"",3184,3123,0,656,1214,1021,293"
"091 101 Vironniemen peruspiiri,""Tyolliset"",""Naiset"",3423,3348,0,873,1175,1083,292"
"091 101 Vironniemen peruspiiri,""Tyottomat"",""Yhteensa"",506,506,0,86,178,168,74"
"091 101 Vironniemen peruspiiri,""Tyottomat"",""Miehet"",264,-1,0,-1,92,81,37"
"091 101 Vironniemen peruspiiri,""Tyottomat"",""Naiset"",242,-1,0,-1,86,87,37"
"091 101 Vironniemen peruspiiri,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",5681,1693,1484,959,337,231,2670"
"091 101 Vironniemen peruspiiri,""Tyovoiman ulkopuolella olevat"",""Miehet"",2544,757,758,438,132,102,1114"
"091 101 Vironniemen peruspiiri,""Tyovoiman ulkopuolella olevat"",""Naiset"",3137,936,726,521,205,129,1556"
"091 101 Vironniemen peruspiiri,""0-14-vuotiaat"",""Yhteensa"",1484,0,1484,0,0,0,0"
"091 101 Vironniemen peruspiiri,""0-14-vuotiaat"",""Miehet"",758,0,758,0,0,0,0"
"091 101 Vironniemen peruspiiri,""0-14-vuotiaat"",""Naiset"",726,0,726,0,0,0,0"
"091 101 Vironniemen peruspiiri,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",998,989,0,837,116,32,13"
"091 101 Vironniemen peruspiiri,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",432,-1,0,-1,42,-1,-1"
"091 101 Vironniemen peruspiiri,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",566,-1,0,-1,74,-1,-1"
"091 101 Vironniemen peruspiiri,""Elakelaiset ja muut"",""Yhteensa"",3199,704,0,122,221,199,2657"
"091 101 Vironniemen peruspiiri,""Elakelaiset ja muut"",""Miehet"",1354,-1,0,-1,-1,95,1111"
"091 101 Vironniemen peruspiiri,""Elakelaiset ja muut"",""Naiset"",1845,-1,0,-1,-1,104,1546"
"091 10 Kruununhaka,""Koko vaesto"",""Yhteensa"",7175,5084,772,1590,1688,1428,1697"
"091 10 Kruununhaka,""Koko vaesto"",""Miehet"",3309,2376,386,674,825,688,736"
"091 10 Kruununhaka,""Koko vaesto"",""Naiset"",3866,2708,386,916,863,740,961"
"091 10 Kruununhaka,""Tyovoima"",""Yhteensa"",4188,4099,0,1005,1507,1309,367"
"091 10 Kruununhaka,""Tyovoima"",""Miehet"",1988,1948,0,424,754,632,178"
"091 10 Kruununhaka,""Tyovoima"",""Naiset"",2200,2151,0,581,753,677,189"
"091 10 Kruununhaka,""Tyolliset"",""Yhteensa"",3903,3814,0,947,1409,1215,332"
"091 10 Kruununhaka,""Tyolliset"",""Miehet"",1844,1804,0,390,708,586,160"
"091 10 Kruununhaka,""Tyolliset"",""Naiset"",2059,2010,0,557,701,629,172"
"091 10 Kruununhaka,""Tyottomat"",""Yhteensa"",285,285,0,58,98,94,35"
"091 10 Kruununhaka,""Tyottomat"",""Miehet"",144,-1,0,-1,46,46,18"
"091 10 Kruununhaka,""Tyottomat"",""Naiset"",141,-1,0,-1,52,48,17"
"091 10 Kruununhaka,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",2987,985,772,585,181,119,1330"
"091 10 Kruununhaka,""Tyovoiman ulkopuolella olevat"",""Miehet"",1321,428,386,250,71,56,558"
"091 10 Kruununhaka,""Tyovoiman ulkopuolella olevat"",""Naiset"",1666,557,386,335,110,63,772"
"091 10 Kruununhaka,""0-14-vuotiaat"",""Yhteensa"",772,0,772,0,0,0,0"
"091 10 Kruununhaka,""0-14-vuotiaat"",""Miehet"",386,0,386,0,0,0,0"
"091 10 Kruununhaka,""0-14-vuotiaat"",""Naiset"",386,0,386,0,0,0,0"
