Municipality,MAJOR,BASIC,SUB,Name,Helsinki statistical area code,Statistics Finland area code,Major district,District,Sub-district
91,1,0,0,Eteläinen,091 1 Eteläinen suurpiiri,0911 1. Eteläinen suurpiiri,Eteläinen,0,0
91,1,101,0,Vironniemi,091 101 Vironniemen peruspiiri,09111 101 Vironniemen peruspiiri,Eteläinen,Vironniemi,0
91,1,101,10,Kruununhaka,091 10 Kruununhaka,09111010 010 Kruununhaka,Eteläinen,Vironniemi,Kruununhaka
91,1,101,20,Kluuvi,091 20 Kluuvi,09111020 020 Kluuvi,Eteläinen,Vironniemi,Kluuvi
91,1,101,80,Katajanokka,091 80 Katajanokka,09111080 080 Katajanokka,Eteläinen,Vironniemi,Katajanokka
91,1,102,0,Ullanlinna,091 102 Ullanlinnan peruspiiri,09112 102 Ullanlinnan peruspiiri,Eteläinen,Ullanlinna,0
91,1,102,30,Kaartinkaupunki,091 30 Kaartinkaupunki,09112030 030 Kaartinkaupunki,Eteläinen,Ullanlinna,Kaartinkaupunki
91,1,102,50,Punavuori,091 50 Punavuori,09112050 050 Punavuori,Eteläinen,Ullanlinna,Punavuori
91,1,102,60,Eira,091 60 Eira,09112060 060 Eira,Eteläinen,Ullanlinna,Eira
91,1,102,70,Ullanlinna,091 70 Ullanlinna,09112070 070 Ullanlinna,Eteläinen,Ullanlinna,Ullanlinna
91,1,102,90,Kaivopuisto,091 90 Kaivopuisto,09112090 090 Kaivopuisto,Eteläinen,Ullanlinna,Kaivopuisto
91,1,102,204,Hernesaari,091 204 Hernesaari,09112204 204 Hernesaari,Eteläinen,Ullanlinna,Hernesaari
91,1,102,520,Suomenlinna,091 520 Suomenlinna,09112520 520 Suomenlinna,Eteläinen,Ullanlinna,Suomenlinna
91,1,102,531,Länsisaaret,091 531 Länsisaaret,09112531 531 Länsisaaret,Eteläinen,Ullanlinna,Länsisaaret
91,1,103,0,Kampinmalmi,091 103 Kampinmalmin peruspiiri,09113 103 Kampinmalmin peruspiiri,Eteläinen,Kampinmalmi,0
91,1,103,40,Kamppi,091 40 Kamppi,09113040 040 Kamppi,Eteläinen,Kampinmalmi,Kamppi
91,1,103,130,Etu-Töölö,091 130 Etu-Töölö,09113130 130 Etu-Töölö,Eteläinen,Kampinmalmi,Etu-Töölö
91,1,103,201,Ruoholahti,091 201 Ruoholahti,09113201 201 Ruoholahti,Eteläinen,Kampinmalmi,Ruoholahti
91,1,103,202,Lapinlahti,091 202 Lapinlahti,09113202 202 Lapinlahti,Eteläinen,Kampinmalmi,Lapinlahti
91,1,103,203,Jätkäsaari,091 203 Jätkäsaari,09113203 203 Jätkäsaari,Eteläinen,Kampinmalmi,Jätkäsaari
91,1,104,0,Taka-Töölö,091 104 Taka-Töölön peruspiiri,09114 104 Taka-Töölön peruspiiri,Eteläinen,Taka-Töölö,0
91,1,104,140,Taka-Töölö,091 140 Taka-Töölö,09114140 140 Taka-Töölö,Eteläinen,Taka-Töölö,Taka-Töölö
91,1,105,0,Lauttasaari,091 105 Lauttasaaren peruspiiri,09115 105 Lauttasaaren peruspiiri,Eteläinen,Lauttasaari,0
91,1,105,311,Kotkavuori,091 311 Kotkavuori,09115311 311 Kotkavuori,Eteläinen,Lauttasaari,Kotkavuori
91,1,105,312,Vattuniemi,091 312 Vattuniemi,09115312 312 Vattuniemi,Eteläinen,Lauttasaari,Vattuniemi
91,1,105,313,Myllykallio,091 313 Myllykallio,09115313 313 Myllykallio,Eteläinen,Lauttasaari,Myllykallio
91,1,105,314,Koivusaari,091 314 Koivusaari,09115314 314 Koivusaari,Eteläinen,Lauttasaari,Koivusaari
91,2,0,0,Läntinen,091 2 Läntinen suurpiiri,0912 2. Läntinen suurpiiri,Läntinen,0,0
91,2,201,0,Reijola,091 201 Reijolan peruspiiri,09121 201 Reijolan peruspiiri,Läntinen,Reijola,0
91,2,201,150,Meilahti,091 150 Meilahti,09121150 150 Meilahti,Läntinen,Reijola,Meilahti
91,2,201,161,Vanha Ruskeasuo,091 161 Vanha Ruskeasuo,09121161 161 Vanha Ruskeasuo,Läntinen,Reijola,Vanha Ruskeasuo
91,2,201,162,Pikku Huopalahti,091 162 Pikku Huopalahti,09121162 162 Pikku Huopalahti,Läntinen,Reijola,Pikku Huopalahti
91,2,201,180,Laakso,091 180 Laakso,09121180 180 Laakso,Läntinen,Reijola,Laakso
91,2,202,0,Munkkiniemi,091 202 Munkkiniemen peruspiiri,09122 202 Munkkiniemen peruspiiri,Läntinen,Munkkiniemi,0
91,2,202,301,Vanha Munkkiniemi,091 301 Vanha Munkkiniemi,09122301 301 Vanha Munkkiniemi,Läntinen,Munkkiniemi,Vanha Munkkiniemi
91,2,202,302,Kuusisaari,091 302 Kuusisaari,09122302 302 Kuusisaari,Läntinen,Munkkiniemi,Kuusisaari
