"One-person hh, Gender","One-person hh, All ages","One-person hh, Age -19","One-person hh, Age 20-29","One-person hh, Age 30-39","One-person hh, Age 40-49","One-person hh, Age 50-59","One-person hh, Age 60-64","One-person hh, Age 65-69","One-person hh, Age 70-74","One-person hh, Age 75-79","One-person hh, Age 80-84","One-person hh, Age 85","One-person hh, Major district","One-person hh, District"
Men,1306,18,293,248,210.0,195,80,67,76,53,43,23,1 Eteläinen suurpiiri,101 Vironniemi
Women,1925,31,428,230,161.0,213,106,159,174,168,135,120,1 Eteläinen suurpiiri,101 Vironniemi
Men,3117,28,847,647,517.0,427,191,132,109,84,70,65,1 Eteläinen suurpiiri,102 Ullanlinna
Women,4575,92,1254,759,379.0,481,278,298,314,310,210,200,1 Eteläinen suurpiiri,102 Ullanlinna
Men,5299,77,1598,1238,795.0,661,278,178,162,162,69,81,1 Eteläinen suurpiiri,103 Kampinmalmi
Women,6924,145,2035,1002,578.0,779,406,441,518,433,310,277,1 Eteläinen suurpiiri,103 Kampinmalmi
Men,2000,29,557,449,296.0,257,87,100,78,69,31,47,1 Eteläinen suurpiiri,104 Taka-Töölö
Women,3214,59,923,512,249.0,306,176,168,228,237,175,181,1 Eteläinen suurpiiri,104 Taka-Töölö
Men,2585,14,596,644,402.0,327,124,142,122,92,58,64,1 Eteläinen suurpiiri,105 Lauttasaari
Women,3899,30,782,580,319.0,402,242,282,356,324,253,329,1 Eteläinen suurpiiri,105 Lauttasaari
Men,1926,22,449,456,294.0,251,122,107,76,59,48,42,2 Läntinen suurpiiri,201 Reijola
Women,3457,42,736,444,266.0,429,277,249,260,274,207,273,2 Läntinen suurpiiri,201 Reijola
Men,1857,14,400,389,275.0,253,109,114,106,78,46,73,2 Läntinen suurpiiri,202 Munkkiniemi
Women,3530,45,650,409,229.0,389,249,250,285,318,279,427,2 Läntinen suurpiiri,202 Munkkiniemi
Men,4248,53,1025,1045,612.0,539,264,226,192,129,84,79,2 Läntinen suurpiiri,203 Haaga
Women,5710,116,1332,908,437.0,585,344,385,429,399,327,448,2 Läntinen suurpiiri,203 Haaga
