id,aluejako,kunta,tunnus,nimi_fi,nimi_se,yhtluontipvm,yhtmuokkauspvm,yhtdatanomistaja,paivitetty_tietopalveluun,valueet_korjattu_area,valueet_korjattu_pc,pinta-ala,avoindata:Maavesi_merialue_area,avoindata:Maavesi_merialue_pc,rakennukset_korjattu_area,rakennukset_korjattu_pc
"111403",KAUPUNGINOSA,"091","15",MEILAHTI,MEJLANS,2009/12/30,2020/12/03,Helsinki/Kami,2023/09/07,1051653.90746016,29.6329226303944,3548937.513,1458116.75596706,41.0860081526303,236114.144418208,6.65309387798912
"111418",KAUPUNGINOSA,"091","43",HERTTONIEMI,HERTONÄS,2009/12/30,2023/03/09,Helsinki/Kami,2023/09/07,3074165.09381214,34.8505797057828,8820986.967,2024081.53932044,22.9462025832895,700014.513268926,7.93578446355693
"111419",KAUPUNGINOSA,"091","10",SÖRNÄINEN,SÖRNÄS,2009/12/30,2023/05/16,Helsinki/Kami,2023/09/07,139812.832641328,5.53679193614613,2525159.592,943502.803498958,37.364086081753,327959.129669077,12.9876595032987
"111439",KAUPUNGINOSA,"091","55",ÖSTERSUNDOM,ÖSTERSUNDOM,2009/12/30,2022/08/17,Helsinki/Kami,2023/09/07,5780792.65727159,73.8277704751669,7830105.962,319643.996158659,4.08224355746131,76393.8203547347,0.975642229232355
"111440",KAUPUNGINOSA,"091","21",HERMANNI,HERMANSTAD,2009/12/30,2023/05/16,Helsinki/Kami,2023/09/07,151466.701225787,10.0841196955792,1502031.965,272190.604108633,18.1214921143088,174662.618414489,11.6284221956444
"111441",KAUPUNGINOSA,"091","30",MUNKKINIEMI,MUNKSNÄS,2009/12/30,2022/12/08,Helsinki/Kami,2023/09/07,2064766.72120639,25.0584400390457,8239805.503,3670582.86364432,44.546960028123,426097.918389782,5.17121330418093
"111442",KAUPUNGINOSA,"091","22",VALLILA,VALLGÅRD,2009/12/30,2020/11/25,Helsinki/Kami,2023/09/07,206331.520303341,14.8350827811071,1390834.978,0,0,340567.704016164,24.4865645065941
"111462",KAUPUNGINOSA,"091",Aluemeri,ALUEMERI,TERRITORIALHAVET,2009/12/30,2020/11/25,Helsinki/Kami,2023/09/07,0,0,230445604.462,230445199.720733,99.9998243658175,0,0
"111516",KAUPUNGINOSA,"091","42",KULOSAARI,BRÄNDÖ,2009/12/30,2023/03/09,Helsinki/Kami,2023/09/07,414749.510267422,15.6550347409141,2649304.311,1359766.49776348,51.3254174749786,145155.289061744,5.47899644685251
"111518",KAUPUNGINOSA,"091","24",KUMPULA,GUMTÄKT,2009/12/30,2021/12/02,Helsinki/Kami,2023/09/07,715401.408778899,47.6236101026111,1502199.03,0,0,144786.44267657,9.63829957497894
"111519",KAUPUNGINOSA,"091","56",SALMENKALLIO,SUNDBERG,2009/12/30,2022/03/24,Helsinki/Kami,2023/09/07,3465031.43411398,83.8375375266617,4133031.022,470491.381161116,11.3836885967968,6198.69264961025,0.149979340017394
"111520",KAUPUNGINOSA,"091","33",KAARELA,KÅRBÖLE,2009/12/30,2020/12/03,Helsinki/Kami,2023/09/07,3976865.98492854,42.6134275295302,9332424.579,0,0,828014.803850952,8.872451063476
