id,aluejako,kunta,tunnus,nimi_fi,nimi_se,yhtluontipvm,yhtmuokkauspvm,yhtdatanomistaja,kokotunnus,paivitetty_tietopalveluun,datanomistaja,avoindata:Maavesi_merialue_area,avoindata:Maavesi_merialue_pc,rakennukset_korjattu_area,rakennukset_korjattu_pc,valueet_korjattu_area,valueet_korjattu_pc
"112868",OSA-ALUE,"091","010",Kruununhaka,Kronohagen,,,,"0911101010",2023-10-06,Helsinki/Kami,531593.110699975,47.2452515938176,207403.441559517,18.4329472686364,105336.038653693,9.36172337059987
"112869",OSA-ALUE,"091","020",Kluuvi,Gloet,,,,"0911101020",2023-10-06,Helsinki/Kami,0,0,233779.626648021,22.5574208448106,371377.112335091,35.8342167587
"112870",OSA-ALUE,"091","030",Kaartinkaupunki,Gardesstaden,,,,"0911102030",2023-10-06,Helsinki/Kami,70078.527370957,17.6107238535022,115195.4177002,28.9485919070241,73968.6703932844,18.5883162357478
"112871",OSA-ALUE,"091","040",Kamppi,Kampen,,,,"0911103040",2023-10-06,Helsinki/Kami,1246.58667480329,0.131316818901606,380641.876994034,40.0972362675706,2893.73613942473,0.304829365057853
"112872",OSA-ALUE,"091","050",Punavuori,Rödbergen,,2016-08-16,kmo,"0911102050",2023-10-06,Helsinki/Kami,15363.9993441478,3.32302290036854,162272.718416415,35.0973693323022,21038.4070957075,4.55031967916228
"112873",OSA-ALUE,"091","060",Eira,Eira,,2016-08-16,kmo,"0911102060",2023-10-06,Helsinki/Kami,21688.1569590036,10.3832637170307,28661.9932015551,13.7220066522961,50274.6256535362,24.0691128076218
"112874",OSA-ALUE,"091","070",Ullanlinna,Ulrikasborg,,,,"0911102070",2023-10-06,Helsinki/Kami,695201.800346803,49.4881715418242,201487.871221526,14.3429811741478,182538.323337496,12.9940513010418
"112875",OSA-ALUE,"091","080",Katajanokka,Skatudden,,,,"0911101080",2023-10-06,Helsinki/Kami,1294700.41154093,69.2769826373664,137840.337976544,7.37557709537184,152513.031965044,8.16068533942877
"112876",OSA-ALUE,"091","090",Kaivopuisto,Brunnsparken,,,,"0911102090",2023-10-06,Helsinki/Kami,2000541.89910555,81.1295476157926,37339.9752168121,1.51427735589009,298244.404978523,12.0949397089195
"112877",OSA-ALUE,"091","111",Siltasaari,Broholmen,,2019-12-04,,"0913301111",2023-10-06,Helsinki/Kami,83.4028545566835,0.0270715509965682,62841.3773679811,20.3975458772299,49429.6878737463,16.0442747808965
"112878",OSA-ALUE,"091","112",Linjat,Linjerna,,2019-12-04,,"0913301112",2023-10-06,Helsinki/Kami,0,0,129675.053152465,19.275250989002,123321.106315359,18.3307831281561
"112879",OSA-ALUE,"091","113",Torkkelinmäki,Torkelsbacken,,2019-12-04,,"0913301113",2023-10-06,Helsinki/Kami,0,0,66412.0278470519,28.799448158249,2111.88060571253,0.915812963288841
"112880",OSA-ALUE,"091","121",Harju,Ås,,2019-12-04,,"0913302121",2023-10-06,Helsinki/Kami,0,0,73463.9420768276,24.4341287717411,60205.5035767183,20.0243682216594
"112881",OSA-ALUE,"091","122",Alppila,Alphyddan,,2021-11-23,,"0913302122",2023-10-06,Helsinki/Kami,0,0,82808.3885394348,13.5761897241312,247171.585049875,40.5230483558234
"112882",OSA-ALUE,"091","130",Etu-Töölö,Främre Tölö,,,,"0911103130",2023-10-06,Helsinki/Kami,1200102.64025872,51.1773665294775,247045.663682174,10.5350542992348,398063.266775809,16.9750728165342
"112883",OSA-ALUE,"091","140",Taka-Töölö,Bortre Tölö,,2019-12-04,,"0911104140",2023-10-06,Helsinki/Kami,293335.404142274,12.5672725644662,312501.776964933,13.3884111925798,1038880.68918879,44.5084248223362
"112884",OSA-ALUE,"091","150",Meilahti,Mejlans,,2019-12-04,,"0912201150",2023-10-06,Helsinki/Kami,1454838.51766182,42.4956363539522,208348.777470274,6.08583961359304,1033348.19031432,30.1839608929158
"112885",OSA-ALUE,"091","171",Länsi-Pasila,Västra Böle,,2019-12-04,kmo,"0913304171",2023-10-06,Helsinki/Kami,0,0,187948.449956321,16.7814628956544,383677.995149938,34.2576809810568
"112886",OSA-ALUE,"091","172",Pohjois-Pasila,Norra Böle,,2021-01-14,,"0913304172",2023-10-06,Helsinki/Kami,0,0,170747.493597453,9.36813673780251,429987.779069378,23.5914696317747
"112887",OSA-ALUE,"091","173",Itä-Pasila,Östra Böle,,2019-12-04,,"0913304173",2023-10-06,Helsinki/Kami,0,0,167128.018739598,19.8162180481422,397054.802470012,47.0784288723431
"112888",OSA-ALUE,"091","174",Keski-Pasila,Mellersta Böle,,2019-12-04,kmo,"0913304174",2023-10-06,Helsinki/Kami,0,0,52324.5107609946,8.59994700705974,88534.5255269454,14.5513492004686
"112889",OSA-ALUE,"091","180",Laakso,Dal,,2019-12-04,,"0912201180",2023-10-06,Helsinki/Kami,0,0,40659.854118385,5.86998013099603,440433.338480669,63.5844619211454
"112890",OSA-ALUE,"091","190",Mustikkamaa-Korkeasaari,Blåbärslandet-Högholmen,,2019-12-04,,"0916601190",2023-10-06,Helsinki/Kami,1522263.41263891,68.2106771854722,17629.7509512256,0.789966599085288,705570.995254735,31.6157341687153
