Gender,Education % 15-24 years Second degree and special vocational training degree,Education % 15-24 years Lowest higher and lower university level,Education % 15-24 years Higher university degree and research training,Education % 15-24 years All levels of education,Education % 15-24 years Elementary or unknown,Education % 15-24 years Total graduates,Education % 25-44 years Second degree and special vocational training degree,Education % 25-44 years Lowest higher and lower university level,Education % 25-44 years Higher university degree and research training,Education % 25-44 years All levels of education,Education % 25-44 years Elementary or unknown,Education % 25-44 years Total graduates,Education % 45-64 years Second degree and special vocational training degree,Education % 45-64 years Lowest higher and lower university level,Education % 45-64 years Higher university degree and research training,Education % 45-64 years All levels of education,Education % 45-64 years Elementary or unknown,Education % 45-64 years Total graduates,Education % 65 and over Second degree and special vocational training degree,Education % 65 and over Lowest higher and lower university level,Education % 65 and over Higher university degree and research training,Education % 65 and over All levels of education,Education % 65 and over Elementary or unknown,Education % 65 and over Total graduates,0-14 year olds,Pensioners and others,"Students, school children, conscripts and civil service",Employed,Unemployed,Labor force,Outside the labor force,Taxable income per housing association,Taxable income per person,Married couple without children,Married couple and children,Unmarried couple without children,Unmarried couple and children,Father and children,Mother and children,municipality,code,name,green area %
0,0.059869997,0.008552857,0.00034211428,0.11631885,0.047553882,0.06876497,0.10537119,0.083133765,0.15703045,0.39651042,0.050975025,0.3455354,0.07697571,0.06158057,0.13718782,0.30003422,0.024290113,0.2757441,0.030790284,0.043790627,0.089633934,0.1871365,0.022921655,0.16421485,0.053797908,0.09602787,,0.2570035,0.020069687,0.27707317,0.18411149,81443.0,44080.0,0.3424291,0.23113964,0.24826111,0.06420546,0.021401819,0.09256287,091,10,Kruununhaka,9.36172337059987
1,0.07902299,0.016666668,0.00057471264,0.1454023,0.04913793,0.09626437,0.07413793,0.10373563,0.15747127,0.36580458,0.030459771,0.33534482,0.04224138,0.071551725,0.14051723,0.26695403,0.012643678,0.25431034,0.04051724,0.06954023,0.07816092,0.22183909,0.03362069,0.18821838,0.053797908,0.12850174,,0.28696865,0.019651568,0.3066202,0.23219512,81443.0,44080.0,0.3424291,0.23113964,0.24826111,0.06420546,0.021401819,0.09256287,091,10,Kruununhaka,9.36172337059987
0,0.058338422,0.007025046,0.0,0.10079414,0.035430666,0.06536347,0.1686011,0.1362248,0.14019547,0.5284056,0.08338424,0.4450214,0.08399511,0.04825901,0.05986561,0.22724496,0.03512523,0.19211973,0.040928528,0.030543678,0.032681733,0.14355528,0.039401345,0.10415394,0.027587192,0.09362493,,0.3008862,0.03659234,0.33747855,0.15809034,48032.0,30519.0,0.32058415,0.12934631,0.41307372,0.055632822,0.013908206,0.0674548,091,101,Vilhonvuori,18.8432882572726
1,0.0886152,0.01862421,0.0015019525,0.14328627,0.034544908,0.108741365,0.12316011,0.14148393,0.14779213,0.45659357,0.044157404,0.41243616,0.051967558,0.055271853,0.0474617,0.17783119,0.023130069,0.15470111,0.061580054,0.05917693,0.03544608,0.22228898,0.06608591,0.15620306,0.028587764,0.12607203,,0.27487135,0.02901658,0.30388793,0.20054317,48032.0,30519.0,0.32058415,0.12934631,0.41307372,0.055632822,0.013908206,0.0674548,091,101,Vilhonvuori,18.8432882572726
0,0.056744363,0.008215514,0.00038211694,0.1150172,0.0496752,0.065341994,0.107374854,0.081581965,0.13813527,0.37906,0.051967904,0.32709208,0.07623233,0.05712648,0.13412304,0.29766908,0.030187238,0.26748186,0.034581583,0.046809323,0.10030569,0.20825373,0.026557127,0.1816966,0.05924652,0.105830856,0.033765826,0.24886666,0.020634672,0.26950133,0.19884321,89459.0,47560.0,0.35423198,0.22741522,0.24337418,0.058991164,0.021658592,0.094328865,091,101,Vironniemen peruspiiri,
1,0.06961817,0.012837393,0.0004937459,0.13018434,0.047235023,0.08294931,0.07044108,0.09825543,0.14516129,0.3457867,0.0319289,0.3138578,0.04921001,0.0720869,0.13183016,0.26892692,0.015799869,0.25312707,0.04921001,0.08508887,0.079163924,0.25510204,0.041639235,0.2134628,0.05674535,0.14420822,0.044239487,0.26754728,0.018915117,0.2864624,0.24519306,89459.0,47560.0,0.35423198,0.22741522,0.24337418,0.058991164,0.021658592,0.094328865,091,101,Vironniemen peruspiiri,
0,0.064842105,0.009263158,0.00042105262,0.11157895,0.03705263,0.07452632,0.16715789,0.13557895,0.1823158,0.54694736,0.061894737,0.48505265,0.065684214,0.05894737,0.087578945,0.24252632,0.03031579,0.21221052,0.02063158,0.029894738,0.031157894,0.09894737,0.017263157,0.08168421,0.06788926,0.058190797,,0.30964556,0.017280903,0.32692647,0.15976018,71436.0,36204.0,0.2910569,0.19403794,0.33658537,0.08726288,0.014092141,0.07696477,091,102,Kalasatama,1.86051637365326
1,0.089181855,0.017448623,0.0031019775,0.15975185,0.050019387,0.10973246,0.10740597,0.14191547,0.18262893,0.46684763,0.034897245,0.43195036,0.051958125,0.07289647,0.07987592,0.22256689,0.017836371,0.20473051,0.036835983,0.051570375,0.030632028,0.15083365,0.03179527,0.11903839,0.058543466,0.09151825,,0.3004761,0.016751895,0.317228,0.19608535,71436.0,36204.0,0.2910569,0.19403794,0.33658537,0.08726288,0.014092141,0.07696477,091,102,Kalasatama,1.86051637365326
0,0.061802834,0.010049242,0.0006029545,0.11626972,0.043814693,0.072455026,0.12762536,0.089739725,0.14611597,0.41684252,0.05336147,0.36348104,0.07376143,0.056476735,0.12370616,0.2890162,0.035071854,0.25394434,0.028539846,0.047130942,0.08059491,0.17787157,0.021605868,0.1562657,0.060093325,0.09701765,0.03558531,0.2499087,0.021627106,0.2715358,0.19269629,91827.0,52916.0,0.3208645,0.22610141,0.26799667,0.0648379,0.021612635,0.098586865,091,102,Ullanlinnan peruspiiri,
1,0.08164129,0.018189508,0.0010152285,0.13908629,0.038240273,0.10084602,0.09492386,0.10313029,0.16565144,0.3930626,0.029357022,0.36370558,0.051015228,0.06751269,0.119881555,0.2576988,0.01928934,0.23840947,0.040778343,0.06971235,0.06497462,0.21015228,0.03468697,0.17546532,0.056157436,0.12846419,0.039805233,0.29016027,0.021180768,0.31134105,0.22442687,91827.0,52916.0,0.3208645,0.22610141,0.26799667,0.0648379,0.021612635,0.098586865,091,102,Ullanlinnan peruspiiri,
0,0.07604184,0.013393104,0.0006641209,0.13686424,0.04676518,0.09009907,0.1283967,0.10255133,0.151973,0.4616747,0.078753665,0.382921,0.066688806,0.055454094,0.10022691,0.25574186,0.033372074,0.2223698,0.024129724,0.03824229,0.062316675,0.14571919,0.021030495,0.12468869,0.06127395,0.08546344,0.04126846,0.26363802,0.022749096,0.28638712,0.18800585,77529.0,43172.0,0.292949,0.22084257,0.29303768,0.0681153,0.017738359,0.107317075,091,103,Kampinmalmin peruspiiri,
1,0.089386575,0.020824125,0.001571632,0.15411817,0.042335838,0.11178233,0.09709739,0.12101567,0.16241835,0.4234566,0.0429252,0.3805314,0.05373017,0.06689259,0.094739944,0.23392761,0.018564904,0.2153627,0.039781936,0.06188301,0.05117627,0.18849762,0.035656404,0.15284121,0.06008505,0.11543737,0.0456811,0.28229457,0.022108922,0.30440348,0.22120354,77529.0,43172.0,0.292949,0.22084257,0.29303768,0.0681153,0.017738359,0.107317075,091,103,Kampinmalmin peruspiiri,
